0,58164,813431
1,58160,84514
2,58148,550001
3,58144,822645
4,58134,447299
5,58121,81761
6,58115,328416
7,58109,339124
8,58098,258117
9,58091,323385
10,58090,528875
11,58075,548545
12,58060,833982
13,58043,198394
14,58025,438868
15,58022,862886
16,58016,146859
17,58015,266976
18,57990,482175
19,57983,538929
20,57978,840007
21,57967,136618
22,57967,747135
23,57964,103023
24,57963,817670
25,57962,14520
26,57960,516445
27,57956,574267
28,57950,163350
29,57935,481377
30,57918,358221
31,57899,247449
32,57880,881254
33,57877,357354
34,57876,615207
35,57869,439973
36,57858,814777
37,57846,399048
38,57836,617464
39,57828,536948
40,57821,757008
41,57820,236404
42,57819,348828
43,57806,354616
44,57768,918399
45,57750,371804
46,57742,203488
47,57741,175638
48,57721,546491
49,57706,626683
50,57698,270759
51,57695,116063
52,57695,145518
53,57665,307546
54,57634,513421
55,57626,371788
56,57621,357664
57,57587,369978
58,57571,625025
59,57547,892962
60,57528,342760
61,57506,341974
62,57501,812427
63,57475,340774
64,57474,647352
65,57469,275864
66,57430,806342
67,57421,752503
68,57413,381158
69,57406,931548
70,57390,283286
71,57367,779993
72,57364,210267
73,57360,873478
74,57348,959429
75,57343,761455
76,57334,266688
77,57323,919517
78,57319,144749
79,57304,528677
80,57285,60155
81,57282,330366
82,57278,438549
83,57277,455875
84,57270,814192
85,57267,161979
86,57245,260024
87,57238,591405
88,57233,547275
89,57223,878408
90,57209,692392
91,57209,634681
92,57205,812712
93,57200,322452
94,57192,153203
95,57178,611510
96,57177,250432
97,57175,238910
98,57172,248237
99,57135,514075
100,57132,808209
101,57115,553925
102,57064,820169
103,57061,941072
104,57059,470950
105,57052,260927
106,57043,817814
107,57039,736424
108,57030,540887
109,57019,803510
110,57009,323638
111,57008,347717
112,57003,926109
113,56980,326203
114,56968,45004
115,56966,233726
116,56944,168263
117,56941,660847
118,56928,359357
119,56927,951602
120,56917,840315
121,56913,914756
122,56910,259549
123,56908,297783
124,56905,627711
125,56898,42595
126,56884,438530
127,56880,55336
128,56879,190102
129,56850,795122
130,56847,49930
131,56825,819022
132,56822,178538
133,56782,469850
134,56779,242932
135,56776,261876
136,56768,932706
137,56737,443676
138,56709,541825
139,56693,243890
140,56672,385799
141,56664,439874
142,56664,350580
143,56662,625463
144,56654,346168
145,56638,463481
146,56627,907306
147,56619,71866
148,56604,447935
149,56595,119267
150,56573,196943
151,56572,632967
152,56565,165265
153,56560,856729
154,56551,689035
155,56543,916494
156,56518,72709
157,56517,64915
158,56496,410687
159,56477,516350
160,56477,605042
161,56464,625898
162,56427,442440
163,56425,260576
164,56422,967378
165,56421,683530
166,56418,636434
167,56395,736306
168,56367,349108
169,56360,621186
170,56352,423802
171,56341,342652
172,56331,423620
173,56328,540222
174,56319,88602
175,56278,620127
176,56269,569573
177,56228,884021
178,56223,567808
179,56217,623365
180,56215,318157
181,56161,716761
182,56159,137812
183,56148,605070
184,56146,272692
185,56140,914731
186,56133,96213
187,56090,927137
188,56087,685441
189,56080,574677
190,56071,201211
191,56067,673251
192,56066,233844
193,56053,332655
194,56049,610595
195,56042,736383
196,56039,454830
197,56026,844723
198,56016,366240
199,56015,198947
200,55990,723038
201,55984,191383
202,55969,344245
203,55961,690689
204,55958,544164
205,55952,659824
206,55951,878442
207,55949,92697
208,55946,628231
209,55943,199953
210,55928,914904
211,55896,660104
212,55891,841456
213,55885,353740
214,55881,410108
215,55878,246316
216,55843,203407
217,55837,926804
218,55824,834525
219,55815,96388
220,55800,541978
221,55778,933958
222,55769,88583
223,55755,920335
224,55754,560057
225,55740,296300
226,55727,660293
227,55727,265291
228,55721,69392
229,55716,134368
230,55704,806221
231,55697,300328
232,55693,178245
233,55687,810522
234,55662,247506
235,55654,925638
236,55652,448782
237,55649,506035
238,55638,467218
239,55631,254000
240,55624,234716
241,55613,456136
242,55613,530751
243,55608,267097
244,55606,361001
245,55606,527728
246,55593,821584
247,55590,790148
248,55588,469729
249,55586,266735
250,55572,249568
251,55571,658842
252,55562,925656
253,55557,632857
254,55554,86162
255,55540,53178
256,55540,197156
257,55531,441085
258,55525,894233
259,55507,218076
260,55500,59060
261,55496,361611
262,55493,549397
263,55491,966782
264,55441,166517
265,55440,461268
266,55436,202792
267,55432,810488
268,55430,527424
269,55415,525900
270,55407,256053
271,55406,331327
272,55404,172450
273,55385,836208
274,55382,446674
275,55382,445426
276,55380,166013
277,55375,340375
278,55351,83291
279,55347,170684
280,55346,708719
281,55334,767513
282,55329,240335
283,55306,102168
284,55282,660261
285,55277,826104
286,55252,529283
287,55249,94853
288,55245,629367
289,55200,585401
290,55172,241962
291,55161,382779
292,55160,375742
293,55158,70967
294,55152,55095
295,55147,161881
296,55146,468324
297,55119,737493
298,55117,841429
299,55097,634891
300,55088,883979
301,55085,717059
302,55084,531471
303,55081,264980
304,55062,676852
305,55033,354998
306,55021,266734
307,55012,733605
308,55011,721173
309,54988,387811
310,54972,607431
311,54966,80066
312,54946,644666
313,54935,910796
314,54923,84227
315,54909,427023
316,54909,908651
317,54906,562259
318,54876,271626
319,54868,834185
320,54855,725688
321,54839,368666
322,54839,556844
323,54819,746890
324,54814,329672
325,54793,844651
326,54789,902712
327,54785,69646
328,54775,826249
329,54764,771092
330,54764,637614
331,54758,601740
332,54738,92443
333,54732,67864
334,54728,838767
335,54717,101964
336,54677,245770
337,54655,415076
338,54652,285322
339,54647,889009
340,54588,727094
341,54582,853434
342,54578,253464
343,54553,718331
344,54544,272225
345,54535,739067
346,54526,197963
347,54518,793238
348,54483,736496
349,54458,474371
350,54449,632550
351,54446,574581
352,54446,193256
353,54438,821784
354,54436,346998
355,54425,611396
356,54406,790752
357,54397,352663
358,54397,321999
359,54367,313392
360,54362,610348
361,54345,273648
362,54315,607047
363,54304,725032
364,54292,245975
365,54286,154283
366,54272,718218
367,54264,196637
368,54257,508002
369,54240,162356
370,54224,266765
371,54213,249721
372,54188,91401
373,54186,277315
374,54167,554064
375,54165,940861
376,54134,922386
377,54117,75524
378,54115,276456
379,54108,650551
380,54105,371985
381,54080,815796
382,54078,764998
383,54075,282603
384,54073,644322
385,54071,239840
386,54061,724265
387,54051,550810
388,54049,407194
389,54044,66974
390,54013,252596
391,54010,604928
392,54006,731303
393,53986,730404
394,53983,578109
395,53969,355799
396,53956,901833
